ID,Name,Age,Department,Salary
1,Alice,25.0,HR,50000.0
2,Bob,30.0,Engineering,70000.0
3,Charlie,35.0,Marketing,
4,Diana,28.0,Engineering,72000.0
5,Ethan,,HR,55000.0
6,Frank,40.0,Marketing,60000.0
7,Grace,32.0,,62000.0
8,Hannah,29.0,HR,
9,Ivy,,Engineering,59000.0
10,Jack,45.0,Marketing,71000.0
11,Kate,27.0,HR,53000.0
12,Leo,33.0,,68000.0
13,Mona,26.0,Engineering,57000.0
14,Nina,,HR,64000.0
15,Oscar,38.0,Marketing,
16,Paul,31.0,HR,60000.0
17,Quinn,22.0,Engineering,75000.0
18,Rose,24.0,Marketing,56000.0
19,Steve,36.0,HR,63000.0
20,Tina,,Engineering,61000.0
